Name,RA,Dec,Distance,Period
PSR J1731-4744,262.925,-47.7425,4.87,0.829723641
PSR J1630-4733,247.6561,-47.5514,6.54,0.575971412
PSR J1640-4715,250.055,-47.2598,7.25,0.517404835
PSR J0437-4715,69.3155,-47.2522,0.14,0.005757452
PSR J1613-4714,243.371,-47.2405,3.9,0.382375953
PSR J1751-4657,267.926,-46.9569,1.08,0.742352395
PSR J1639-4604,249.8383,-46.0758,4.64,0.264557926
PSR J1644-4559,251.2052,-45.9859,5.3,0.455059775
PSR J1637-4553,249.4946,-45.8909,3.83,0.118771393
PSR J0904-4546,136.1917,-45.7667,6.91,0.98829
PSR J1701-4533,255.3715,-45.5635,17.34,0.322908567
PSR J0835-4510,128.8362,-45.1766,0.5,0.089308557
PSR J1045-4509,161.4592,-45.1651,3.24,0.007474224
PSR J1633-4453,248.446,-44.8855,12.02,0.436506697
PSR J1559-4438,239.9229,-44.646,1.63,0.257055724
PSR J1709-4428,257.4257,-44.4825,1.82,0.102449749
PSR J1510-4422,227.7038,-44.3686,4.22,0.943871298
PSR J0858-4419,134.525,-44.3167,6.56,0.326771
PSR J1328-4357,202.027,-43.9623,2.29,0.532698803
PSR J1507-4352,226.8924,-43.8676,1.79,0.286757045
PSR J1646-4346,251.7137,-43.7772,6.85,0.231603329
PSR J1622-4334,245.6958,-43.5667,8.07,0.916908
PSR J1556-4258,239.2042,-42.9667,7.67,0.329186
PSR J1623-4256,245.9514,-42.9479,21.85,0.364590355
PSR J0749-4247,117.3625,-42.7833,2.33,0.547718
PSR J0904-4246,136.2466,-42.7706,4.4,0.965170999
PSR J1651-4246,252.9533,-42.7698,7.21,0.844080666
PSR J1822-4210,275.575,-42.1667,3.47,0.456513
PSR J0837-4135,129.3382,-41.5873,4.24,0.751622118
PSR J1732-4128,263.2084,-41.4801,5.93,0.627980684
PSR J1240-4124,190.0734,-41.4144,3.59,0.512242093
PSR J1116-4122,169.1796,-41.3791,2.68,0.943157883
PSR J0820-4114,125.0644,-41.2435,2.38,0.545445536
PSR J1717-4054,259.3355,-40.9105,5.43,0.88771
PSR J1707-4053,256.8406,-40.8987,5.12,0.581016154
PSR J1625-4050,246.4125,-40.8333,5.12,2.355
PSR J0738-4042,114.6351,-40.7114,11.03,0.374918711
PSR J0206-4028,31.5053,-40.4679,0.88,0.630550141
PSR J1719-4006,259.7572,-40.1165,6.29,0.189094493
PSR J2144-3939,326.05,-39.65,0.21,2.8366
PSR J1615-3936,243.75,-39.6,9.67,0.407293
PSR J1527-3931,231.9956,-39.5263,2.01,2.41758227
PSR J1741-3927,265.3252,-39.4605,4.75,0.51221006
PSR J1419-3920,214.8417,-39.3333,5.04,1.09678
PSR J0952-3839,148.0717,-38.6528,8.44,1.373815121
PSR J1653-3838,253.4158,-38.6391,5.12,0.305037319
PSR J1701-3726,255.3272,-37.4403,7.83,2.454609159
PSR J1733-3716,263.3615,-37.2818,3.45,0.337585823
PSR J1722-3712,260.7466,-37.201,2.51,0.236173192
PSR J1335-3642,203.9,-36.7,4.11,0.399192
PSR J1722-3632,260.5409,-36.5481,5.3,0.399183352
PSR J1817-3618,274.2741,-36.3011,3.79,0.387016921
PSR J1737-3555,264.4168,-35.9288,2.25,0.397584746
PSR J1809-3547,272.4708,-35.7833,12.9,0.8604
PSR J0846-3533,131.5244,-35.5611,1.31,1.11609645
PSR J1721-3532,260.3867,-35.5463,6.36,0.280417342
PSR J1321-3509,200.275,-35.15,1.25,0.458488
PSR J1750-3506,267.6917,-35.1,5.28,0.68401
PSR J1717-3425,259.334,-34.4179,22.12,0.656297657
PSR J2108-3425,317.0583,-34.4167,2.63,1.42314
PSR J1705-3422,256.3125,-34.3667,3.75,0.255422
PSR J1709-3421,257.2583,-34.35,4.75,0.6921
PSR J0828-3417,127.0688,-34.2857,0.52,1.848918399
PSR J2124-3358,321.1828,-33.9789,0.24,0.004931115
PSR J1730-3350,262.6359,-33.8452,4.24,0.139447321
PSR J0855-3331,133.9161,-33.525,1.27,1.26753267
PSR J1455-3330,223.9499,-33.5128,0.74,0.007987205
PSR J1141-3321,175.425,-33.35,3.84,0.145734
PSR J1700-3310,255.15,-33.1667,6,1.3583
PSR J1648-3256,252.0083,-32.9333,5.37,0.71945
PSR J1703-3241,255.8439,-32.6965,3.31,1.211785002
PSR J1034-3224,158.5333,-32.4,4.68,1.15057
PSR J1738-3211,264.7259,-32.1981,1.48,0.768498767
PSR J1722-3207,260.5123,-32.1291,3.18,0.477157434
PSR J1750-3157,267.6971,-31.9615,4.45,0.910362952
PSR J1743-3150,265.9029,-31.8388,3.64,2.414556087
PSR J1555-3134,238.8249,-31.5721,6.1,0.518109772
PSR J1739-3131,264.8513,-31.5175,7.67,0.529437558
PSR J2155-3118,328.8065,-31.3152,0.92,1.030001559
PSR J1140-3107,175.1667,-31.1167,2.78,0.53843
PSR J1823-3106,275.9449,-31.1138,1.66,0.284053912
PSR J1745-3040,266.4846,-30.6732,2.08,0.367427363
PSR J1045-3033,161.4625,-30.55,4.17,0.330327
PSR J1332-3033,203.1875,-30.55,1.07,0.650447
PSR J1823-3021B,275.923,-30.3615,8,0.378596474
PSR J1823-3021A,275.9186,-30.361,8,0.005440002
PSR J1740-3015,265.1405,-30.2616,3.28,0.606678547
PSR J1749-3002,267.3061,-30.0428,9.11,0.609872357
PSR J1615-2940,243.9698,-29.6678,1.66,2.477567322
PSR J0134-2937,23.5792,-29.6167,1.78,0.136962
PSR J1720-2933,260.1423,-29.5543,1.43,0.62044827
PSR J1759-2922,269.9333,-29.3667,1.91,0.574399
PSR J1801-2920,270.4451,-29.3437,3.27,1.081907857
PSR J1946-2913,296.7155,-29.2296,4.31,0.959447886
PSR J1739-2903,264.8928,-29.0506,3.2,0.322881956
PSR J0630-2834,97.7064,-28.5788,2.14,1.244417073
PSR J0742-2822,115.7045,-28.3789,1.89,0.16676092
PSR J1752-2806,268.2445,-28.1106,1.53,0.562557858
PSR J0448-2757,72.1792,-27.95,1.55,0.450436
PSR J1804-2718,271.1958,-27.3,1.17,0.00934303
PSR J1807-2715,271.7924,-27.2543,9.67,0.827770612
PSR J1603-2712,240.7856,-27.2075,2.58,0.77831174
PSR J1803-2712,270.8815,-27.2018,3.62,0.334415424
PSR J1654-2707,253.6708,-27.1167,3.97,0.791812
